	eta-29	length-29	eta-28	length-28
1	0.708545	1.384789	1.146219	1.41401
2	0.554519	1.350438	0.995687	1.435627
3	0.326138	1.289073	0.823164	1.414346
4	0.631423	1.975808	1.207162	2.126965
5	0.533207	1.92619	1.099249	2.104285
6	0.435482	1.874837	0.831054	2.025921
7	0.366063	1.287688	0.816507	1.407456
8	0.592959	1.949875	1.092665	2.095916
9	0.431676	1.859583	0.831747	2.021543
10	0.70173	1.369496	0.995787	1.434602
11	0.244283	1.704574	0.572852	1.794886
12	0.414121	1.838595	0.735442	1.97135
13	0.514319	1.88941	0.80471	2.005572
14	0.867691	1.449527	1.142403	1.49171
15	0.412441	1.853473	0.639831	1.903948
16	0.463634	1.897265	0.665803	1.945666
17	0.379701	1.829541	0.588693	1.895667
18	1.101694	2.233663	1.34207	2.274227
19	0.283254	1.66482	0.414221	1.683761
20	0.988167	2.083999	1.119277	2.126121
21	1.024805	2.115403	1.135704	2.164542
22	0.293416	1.658714	0.37892	1.660654
23	1.062173	2.105837	1.149316	2.138692
24	1.160576	2.152418	1.189316	2.18387
25	1.597041	2.237373	1.496485	2.279699
26	0.651506	1.925029	0.76652	1.902286
27	0.644261	1.943942	0.630561	1.911086
28	1.017154	2.113754	1.018337	2.095726
29	1.31178	2.172551	1.183177	2.157087
30	0.706971	1.962235	0.8331	1.922876
31	0.545683	1.876389	0.475714	1.800563
32	1.076496	2.150344	1.086835	2.11514
33	1.297515	2.154418	1.206326	2.149733
34	1.146249	2.184045	1.110196	2.076216
35	1.369766	2.280211	1.27745	2.223364
36	1.194217	2.149412	1.146491	2.158746
37	1.131431	2.124243	1.051002	2.09447
38	1.34814	2.375635	1.244432	2.16025
39	1.325184	2.258441	1.109093	2.135998
40	0.782014	2.016548	0.6756	1.92386
41	1.338198	2.170649	1.302521	2.068548
42	1.202087	2.125552	1.133691	2.071542
43	0.52837	1.670946	0.386498	1.639572
44	1.077606	2.167096	0.997053	2.097652
45	1.361367	2.276582	1.240944	2.134827
46	1.040157	2.13436	1.0023	2.095958
47	1.137341	2.097722	0.906331	2.027475
48	1.185872	2.016838	1.043088	2.004485
49	0.591104	1.690265	0.433923	1.665298
50	1.248259	2.10108	1.034829	2.072991
51	1.161772	2.125778	1.106662	2.118137
52	1.095364	2.187265	1.019072	2.081576
53	0.606248	1.926375	0.46548	1.798596
54	1.136461	2.213586	1.07087	2.122965
55	0.987419	1.872167	0.78937	1.830287
56	1.895295	2.263158	1.616873	2.243744
57	0.60515	1.586142	0.299267	1.542763
58	1.349061	1.96313	1.075692	1.953743
59	1.106137	2.163572	0.96806	2.063469
60	0.759093	1.975011	0.562037	1.859859
61	0.983155	1.890711	0.824028	1.848416
62	1.861886	2.259165	1.587257	2.226309
63	0.624172	1.598468	0.317882	1.552227
64	1.519204	2.02439	1.0297	1.941214
65	1.700458	2.526268	1.30323	2.239623
66	1.661608	2.458389	1.342921	2.259101
67	0.678527	1.943755	0.519614	1.817074
68	1.373422	2.200894	1.098402	2.039462
69	1.075151	2.031941	0.85396	1.916264
70	1.146793	2.022383	0.835039	1.906719
71	1.325628	2.01552	0.894451	1.882491
72	0.961866	1.80211	0.724404	1.794337
73	0.958857	2.060371	0.664234	1.896559
74	1.15965	2.034234	0.903711	1.92681
75	1.432956	2.217888	1.156878	2.14131
76	1.428541	2.197952	1.109838	2.115414
77	1.121849	1.851669	0.770168	1.817225
78	1.293714	2.214203	1.068569	2.106111
79	1.241632	1.912644	0.845009	1.857543
80	1.903444	2.662965	1.376837	2.334645
81	1.332821	2.195206	1.091431	2.065926
82	0.902776	2.0762	0.575884	1.874354
83	1.435358	2.226194	0.97838	2.004583
84	0.800421	2.012406	0.509569	1.832705
85	2.037094	2.512692	1.641079	2.389459
86	1.022532	2.145696	0.603522	1.892818
87	1.017659	2.127976	0.694678	1.941274
88	1.896417	2.336502	1.507291	2.225082
89	1.481586	2.322881	1.124877	2.156622
90	1.558714	2.315167	1.218475	2.171715
91	1.364358	2.259549	1.070678	2.114065
92	2.199017	2.404318	1.614724	2.243585
93	1.184037	1.986825	0.81469	1.857739
94	1.490134	2.043882	1.063426	1.948649
95	1.444945	2.209	1.101421	2.10905
96	1.128786	1.841325	0.735188	1.795118
97	2.215385	2.364415	1.650049	2.252232
98	1.331394	1.995192	0.856277	1.862933
99	1.420472	2.065771	1.00512	1.951377
100	1.52521	2.344842	1.118927	2.150921
101	1.404262	2.262247	1.049596	2.089814
102	1.622579	2.320347	1.205015	2.151567
103	1.324195	2.160842	0.984009	2.054006
104	1.298584	1.958874	0.869617	1.870429
105	1.513742	1.960727	0.855359	1.839312
106	1.386961	1.9515	0.788973	1.809122
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
