manifold_lex_d2_n4_#1: ( + ; 0 ) = S^2
manifold_lex_d2_n5_#1: ( + ; 0 ) = S^2
manifold_lex_d2_n6_#1: ( + ; 0 ) = S^2
manifold_lex_d2_n6_#2: ( + ; 0 ) = S^2
manifold_lex_d2_n6_#3: ( - ; 1 ) = RP^2
manifold_lex_d2_n7_#1: ( + ; 0 ) = S^2
manifold_lex_d2_n7_#2: ( + ; 0 ) = S^2
manifold_lex_d2_n7_#3: ( + ; 0 ) = S^2
manifold_lex_d2_n7_#4: ( + ; 0 ) = S^2
manifold_lex_d2_n7_#5: ( - ; 1 ) = RP^2
manifold_lex_d2_n7_#6: ( + ; 0 ) = S^2
manifold_lex_d2_n7_#7: ( - ; 1 ) = RP^2
manifold_lex_d2_n7_#8: ( - ; 1 ) = RP^2
manifold_lex_d2_n7_#9: ( + ; 1 ) = T^2
manifold_lex_d2_n8_#1: ( + ; 0 ) = S^2
manifold_lex_d2_n8_#2: ( + ; 0 ) = S^2
manifold_lex_d2_n8_#3: ( + ; 0 ) = S^2
manifold_lex_d2_n8_#4: ( + ; 0 ) = S^2
manifold_lex_d2_n8_#5: ( + ; 0 ) = S^2
manifold_lex_d2_n8_#6: ( + ; 0 ) = S^2
manifold_lex_d2_n8_#7: ( + ; 0 ) = S^2
manifold_lex_d2_n8_#8: ( - ; 1 ) = RP^2
manifold_lex_d2_n8_#9: ( + ; 0 ) = S^2
manifold_lex_d2_n8_#10: ( + ; 0 ) = S^2
manifold_lex_d2_n8_#11: ( + ; 0 ) = S^2
manifold_lex_d2_n8_#12: ( - ; 1 ) = RP^2
manifold_lex_d2_n8_#13: ( - ; 1 ) = RP^2
manifold_lex_d2_n8_#14: ( + ; 0 ) = S^2
manifold_lex_d2_n8_#15: ( - ; 1 ) = RP^2
manifold_lex_d2_n8_#16: ( - ; 1 ) = RP^2
manifold_lex_d2_n8_#17: ( - ; 1 ) = RP^2
manifold_lex_d2_n8_#18: ( - ; 1 ) = RP^2
manifold_lex_d2_n8_#19: ( - ; 1 ) = RP^2
manifold_lex_d2_n8_#20: ( + ; 0 ) = S^2
manifold_lex_d2_n8_#21: ( + ; 1 ) = T^2
manifold_lex_d2_n8_#22: ( - ; 1 ) = RP^2
manifold_lex_d2_n8_#23: ( - ; 1 ) = RP^2
manifold_lex_d2_n8_#24: ( + ; 0 ) = S^2
manifold_lex_d2_n8_#25: ( + ; 0 ) = S^2
manifold_lex_d2_n8_#26: ( - ; 1 ) = RP^2
manifold_lex_d2_n8_#27: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n8_#28: ( - ; 1 ) = RP^2
manifold_lex_d2_n8_#29: ( - ; 1 ) = RP^2
manifold_lex_d2_n8_#30: ( - ; 1 ) = RP^2
manifold_lex_d2_n8_#31: ( + ; 1 ) = T^2
manifold_lex_d2_n8_#32: ( + ; 1 ) = T^2
manifold_lex_d2_n8_#33: ( - ; 1 ) = RP^2
manifold_lex_d2_n8_#34: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n8_#35: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n8_#36: ( + ; 1 ) = T^2
manifold_lex_d2_n8_#37: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n8_#38: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n8_#39: ( + ; 1 ) = T^2
manifold_lex_d2_n8_#40: ( + ; 1 ) = T^2
manifold_lex_d2_n8_#41: ( - ; 1 ) = RP^2
manifold_lex_d2_n8_#42: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n8_#43: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#1: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#2: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#3: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#4: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#5: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#6: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#7: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#8: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#9: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#10: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#11: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#12: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#13: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#14: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#15: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#16: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#17: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#18: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#19: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#20: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#21: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#22: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#23: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#24: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#25: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#26: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#27: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#28: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#29: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#30: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#31: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#32: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#33: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#34: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#35: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#36: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#37: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#38: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#39: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#40: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#41: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#42: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#43: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#44: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#45: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#46: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#47: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#48: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#49: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#50: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#51: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#52: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#53: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#54: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#55: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#56: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#57: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#58: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#59: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#60: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#61: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#62: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#63: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#64: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#65: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#66: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#67: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#68: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#69: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#70: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#71: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#72: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#73: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#74: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#75: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#76: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#77: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#78: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#79: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#80: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#81: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#82: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#83: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#84: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#85: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#86: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#87: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#88: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#89: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#90: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#91: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#92: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#93: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#94: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#95: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#96: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#97: ( + ; 1 ) = T^2
