Step 1      Volume
---------------------------
Tetra 1    0.942809      
Tetra 2    0.942809      
Tetra 3    0.942809      
Tetra 4    0.942809      
Tetra 5    0.942809      
Tetra 6    0.942809      
Tetra 7    0.942809      
Tetra 8    0.942809      
Tetra 9    0.942809      
Tetra 10   0.942809      
Tetra 11   0.942809      
Tetra 12   0.942809      
Tetra 13   0.942809      
Tetra 14   0.942809      
Tetra 15   0.942809      
Tetra 16   0.942809      
Tetra 17   0.942809      
Tetra 18   0.942809      
Tetra 19   0.942809      
Tetra 20   0.942809      
Tetra 21   0.942809      
Tetra 22   0.942809      
Tetra 23   0.942809      
Tetra 24   0.942809      
Tetra 25   0.942809      
Tetra 26   0.942809      
Tetra 27   0.942809      
Tetra 28   0.942809      
Tetra 29   0.942809      
Tetra 30   0.942809      
Tetra 31   0.942809      
Tetra 32   0.942809      
Tetra 33   0.942809      
Tetra 34   0.942809      
Tetra 35   0.942809      
Tetra 36   0.942809      
Tetra 37   0.942809      
Tetra 38   0.942809      
Tetra 39   0.942809      
Tetra 40   0.942809      
Tetra 41   0.942809      
Tetra 42   0.942809      
Tetra 43   0.942809      
Tetra 44   0.942809      
Tetra 45   0.942809      
Tetra 46   0.942809      
Tetra 47   0.942809      
Tetra 48   0.942809      
Tetra 49   0.942809      
Tetra 50   0.942809      
Tetra 51   0.942809      
Tetra 52   0.942809      
Tetra 53   0.942809      
Tetra 54   0.942809      
Tetra 55   0.942809      
Tetra 56   0.942809      
Tetra 57   0.942809      
Tetra 58   0.942809      
Tetra 59   0.942809      
Tetra 60   0.942809      
Tetra 61   0.942809      
Tetra 62   0.942809      
Tetra 63   0.942809      
Tetra 64   0.942809      
Tetra 65   0.942809      
Tetra 66   0.942809      
Tetra 67   0.942809      
Tetra 68   0.942809      
Tetra 69   0.942809      
Tetra 70   0.942809      
Tetra 71   0.942809      
Tetra 72   0.942809      
Tetra 73   0.942809      
Tetra 74   0.942809      
Tetra 75   0.942809      
Tetra 76   0.942809      
Tetra 77   0.942809      
Tetra 78   0.942809      
Tetra 79   0.942809      
Tetra 80   0.942809      
Tetra 81   0.942809      
Tetra 82   0.942809      
Tetra 83   0.942809      
Tetra 84   0.942809      
Tetra 85   0.942809      
Tetra 86   0.942809      
Tetra 87   0.942809      
Tetra 88   0.942809      
Tetra 89   0.942809      
Tetra 90   0.942809      
Tetra 91   0.942809      
Tetra 92   0.942809      
Tetra 93   0.942809      
Total Volume: 87.6812

Step 2      Volume
---------------------------
Tetra 1    0.891436      
Tetra 2    0.891436      
Tetra 3    0.856198      
Tetra 4    0.856199      
Tetra 5    0.890728      
Tetra 6    0.890728      
Tetra 7    0.872362      
Tetra 8    0.906912      
Tetra 9    0.872308      
Tetra 10   0.906857      
Tetra 11   0.872540      
Tetra 12   0.907097      
Tetra 13   1.03268       
Tetra 14   0.996316      
Tetra 15   0.996519      
Tetra 16   0.974681      
Tetra 17   1.03328       
Tetra 18   0.974912      
Tetra 19   1.03359       
Tetra 20   1.03334       
Tetra 21   0.996892      
Tetra 22   0.958374      
Tetra 23   0.958601      
Tetra 24   1.01630       
Tetra 25   1.01592       
Tetra 26   1.01624       
Tetra 27   0.997095      
Tetra 28   0.997162      
Tetra 29   0.997159      
Tetra 30   0.998662      
Tetra 31   0.980150      
Tetra 32   0.980147      
Tetra 33   0.995586      
Tetra 34   1.03418       
Tetra 35   1.01667       
Tetra 36   0.997954      
Tetra 37   1.01407       
Tetra 38   0.997578      
Tetra 39   0.996789      
Tetra 40   0.978618      
Tetra 41   1.01535       
Tetra 42   1.03446       
Tetra 43   0.997843      
Tetra 44   1.01668       
Tetra 45   1.01700       
Tetra 46   1.01694       
Tetra 47   0.999084      
Tetra 48   0.999397      
Tetra 49   0.980946      
Tetra 50   1.05259       
Tetra 51   1.03340       
Tetra 52   1.01546       
Tetra 53   1.01565       
Tetra 54   1.03490       
Tetra 55   1.01584       
Tetra 56   0.993091      
Tetra 57   0.975913      
Tetra 58   1.01370       
Tetra 59   1.03484       
Tetra 60   1.03503       
Tetra 61   0.998391      
Tetra 62   0.998577      
Tetra 63   1.01699       
Tetra 64   0.993268      
Tetra 65   1.03279       
Tetra 66   1.01498       
Tetra 67   1.01604       
Tetra 68   1.01597       
Tetra 69   1.01605       
Tetra 70   0.998341      
Tetra 71   1.01726       
Tetra 72   0.957308      
Tetra 73   0.957611      
Tetra 74   0.957838      
Tetra 75   0.957714      
Tetra 76   0.957484      
Tetra 77   0.993479      
Tetra 78   0.976351      
Tetra 79   0.976525      
Tetra 80   1.01384       
Tetra 81   0.978205      
Tetra 82   0.996617      
Tetra 83   0.979667      
Tetra 84   0.979540      
Tetra 85   0.961456      
Tetra 86   0.979367      
Tetra 87   0.980225      
Tetra 88   0.998724      
Tetra 89   0.998671      
Tetra 90   0.998662      
Tetra 91   0.998735      
Tetra 92   0.963441      
Tetra 93   0.981686      
Total Volume: 91.5942

Step 3      Volume
---------------------------
Tetra 1    0.858292      
Tetra 2    0.858297      
Tetra 3    0.803182      
Tetra 4    0.803187      
Tetra 5    0.856264      
Tetra 6    0.856269      
Tetra 7    0.826972      
Tetra 8    0.879874      
Tetra 9    0.826834      
Tetra 10   0.879727      
Tetra 11   0.827500      
Tetra 12   0.880434      
Tetra 13   1.10236       
Tetra 14   1.04513       
Tetra 15   1.04579       
Tetra 16   1.00556       
